pair_id	Sentence_A	Sentence_B	relation	order	additional_dimension	origin	A_cause_B	B_cause_A	A_precede_B	B_precede_A	answers	majority_vote	average_vote	quest_label	connective	connected_sent	conn_in_list	pair_ID	accept_answers	accept_st_dev	accept_average_vote	prompt	generated_answer_outlines	generated_answer_greedy	answer_greedy_cleaned
247	June decided to get the train.	June looked up for train information online.	temporal	B follows A	none	Descript	False	False	True	False	['YES', 'YES', 'YES', 'NO', 'YES', 'NO', 'NO', 'NO', 'YES', 'NO']	inconclusive	0.0	BA_cause	then	June decided to get the train, because june looked up for train information online.	because	2255	['8', '8', '10', '5', '9', '4', '10', '10', '6', '5', '4', '2', '9', '9', '8']	2.499777767900357	7.133333333333334	"Evaluate the acceptability of sentences that describe two events linked by connectives: after, so, then, because.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: June decided to get the train, because june looked up for train information online.
Rating: "	4	"8

Explanation: The"	8
138	Martina has less chance of getting the flu.	Martina has been vaccinated against the flu.	causality	A follows B	none	e-care	False	True	False	True	['YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'YES']	no	-0.4	AB_cause	because	Martina has less chance of getting the flu, so Martina has been vaccinated against the flu.	so	1287	['1', '2', '4', '1', '1', '2', '1', '2', '2', '1', '1', '1', '7', '1', '6']	1.8690461025168248	2.2	"Evaluate the acceptability of sentences that describe two events linked by connectives: after, so, then, because.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Martina has less chance of getting the flu, so Martina has been vaccinated against the flu.
Rating: "	3	"6

Explanation: The"	6
443	There were a lot of bees in the areas near flowers.	Insects swarmed around the picnic area.	no_rel	none	none	origin	False	False	False	False	['YES', 'YES', 'YES', 'YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-0.2	AB_temp	other	There were a lot of bees in the areas near flowers, then insects swarmed around the picnic area.	then	1527	['9', '8', '3', '3', '1', '8', '10', '4', '3', '1', '5', '3', '1', '9', '8']	3.15101394615906	5.066666666666666	"Evaluate the acceptability of sentences that describe two events linked by connectives: because, then, after, so.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: There were a lot of bees in the areas near flowers, then insects swarmed around the picnic area.
Rating: "	6	"3

Explanation: The"	3
102	Albert broke a leg.	Albert fell down the stairs.	causality	A follows B	none	origin	False	True	False	True	['YES', 'YES', 'YES', 'YES', 'YES', 'NO', 'YES', 'YES', 'YES', 'YES']	yes	0.8	BA_temp	because	Albert broke a leg, after Albert fell down the stairs.	after	3735	['10', '10', '9', '9', '9', '9', '10', '8', '2', '10', '7', '9', '10', '3', '8']	2.4000000000000004	8.2	"Evaluate the acceptability of sentences that describe two events linked by connectives: so, because, then, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Albert broke a leg, after Albert fell down the stairs.
Rating: "	1	"8

Sentence: Albert"	8
541	The model struck a pose.	The model in the photo is beautiful.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO', 'YES', 'NO', 'NO']	no	-0.6	BA_temp	other	The model struck a pose, after the model in the photo is beautiful.	after	855	['1', '2', '1', '2', '1', '1', '10', '7', '6', '1', '5', '1', '1', '1', '1']	2.768071932270226	2.7333333333333334	"Evaluate the acceptability of sentences that describe two events linked by connectives: so, then, because, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: The model struck a pose, after the model in the photo is beautiful.
Rating: "	2	"2

Explanation: The"	2
340	Matteo sat at the desk.	Matteo turned on the computer.	temporal	B follows A	none	origin	False	False	True	False	['YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES']	no	-0.6	BA_temp	then	Matteo sat at the desk, after Matteo turned on the computer.	after	2380	['10', '8', '2', '3', '7', '9', '10', '8', '9', '4', '7', '8', '10', '10', '7']	2.499777767900357	7.466666666666667	"Evaluate the acceptability of sentences that describe two events linked by connectives: then, because, so, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Matteo sat at the desk, after Matteo turned on the computer.
Rating: "	4	"7

Sentence: Matte"	7
253	Ross bowed to the audience.	Ross acted in the theater.	temporal	A follows B	none	Descript	False	False	False	True	['YES', 'YES', 'YES', 'YES', 'NO', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	0.8	BA_cause	after	Ross bowed to the audience, because Ross acted in the theater.	because	3642	['10', '9', '9', '8', '4', '8', '10', '10', '9', '6', '10', '10', '6', '9', '10']	1.7838784213679535	8.533333333333333	"Evaluate the acceptability of sentences that describe two events linked by connectives: so, then, because, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Ross bowed to the audience, because Ross acted in the theater.
Rating: "	4	"8

Sentence: Ross"	8
367	The teacher started the lesson.	The teacher called the roll.	temporal	A follows B	none	origin	False	False	False	True	['NO', 'YES', 'NO', 'YES', 'NO', 'YES', 'NO', 'NO', 'NO', 'NO']	no	-0.4	AB_cause	after	The teacher started the lesson, so the teacher called the roll.	so	2422	['9', '9', '3', '10', '1', '5', '2', '9', '8', '1', '4', '8', '3', '7', '2']	3.179098404684364	5.4	"Evaluate the acceptability of sentences that describe two events linked by connectives: so, then, after, because.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: The teacher started the lesson, so the teacher called the roll.
Rating: "	7	"8

Explanation: The"	8
116	Jack decided to choose anthropology as his major in college.	Jack's interest is to study the human species.	causality	A follows B	none	e-care	False	True	False	True	['NO', 'NO', 'NO', 'YES', 'NO', 'NO', 'YES', 'NO', 'NO', 'YES']	no	-0.4	AB_cause	because	Jack decided to choose anthropology as his major in college, so Jack's interest is to study the human species.	so	1424	['10', '9', '7', '8', '5', '7', '10', '4', '7', '2', '1', '9', '10', '8', '6']	2.729265265394496	6.866666666666666	"Evaluate the acceptability of sentences that describe two events linked by connectives: because, so, after, then.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Jack decided to choose anthropology as his major in college, so Jack's interest is to study the human species.
Rating: "	3	"2

Explanation: The"	2
270	Gaia saw the bus approaching.	Gaia waited at the bus stop.	temporal	A follows B	none	Descript	False	False	False	True	['YES', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO', 'YES', 'YES', 'NO']	no	-0.2	AB_cause	after	Gaia saw the bus approaching, so Gaia waited at the bus stop.	so	4316	['10', '9', '8', '10', '10', '5', '10', '10', '10', '6', '10', '9', '10', '10', '10']	1.5434449203720304	9.133333333333333	"Evaluate the acceptability of sentences that describe two events linked by connectives: so, then, because, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Gaia saw the bus approaching, so Gaia waited at the bus stop.
Rating: "	1	"8

Explanation: The"	8
254	The train arrived.	Dina waited for the train to arrive.	temporal	A follows B	none	Descript	False	False	False	True	['YES', 'YES', 'YES', 'YES', 'YES', 'NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	0.8333333333333334	BA_temp	after	The train arrived, after Dina waited for the train to arrive.	after	2302	['10', '9', '5', '7', '6', '3', '10', '8', '2', '8', '1', '8', '9', '4', '10']	2.913569784454954	6.666666666666667	"Evaluate the acceptability of sentences that describe two events linked by connectives: then, so, because, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: The train arrived, after Dina waited for the train to arrive.
Rating: "	5	"5

Explanation: The"	5
537	The traffic light became green.	Luke was late for school.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO']	no	-0.8	AB_temp	other	The traffic light became green, then Luke was late for school.	then	1642	['5', '3', '1', '4', '2', '3', '1', '1', '1', '1', '4', '1', '1', '2', '1']	1.339983416149452	2.066666666666667	"Evaluate the acceptability of sentences that describe two events linked by connectives: because, then, so, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: The traffic light became green, then Luke was late for school.
Rating: "	7	"2

Sentence: Because"	2
106	Larry has a weight problem.	Larry decided to run every night.	causality	B follows A	none	big_bench	True	False	True	False	['YES', 'YES', 'YES', 'NO', 'NO', 'NO', 'YES', 'NO', 'YES', 'NO']	inconclusive	0.0	BA_cause	thus	Larry has a weight problem, because Larry decided to run every night.	because	1116	['5', '2', '2', '1', '1', '4', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.2	1.6	"Evaluate the acceptability of sentences that describe two events linked by connectives: then, so, after, because.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Larry has a weight problem, because Larry decided to run every night.
Rating: "	5	"5

Sentence: Larry"	5
373	The students put their books in their backpacks.	The students closed their books.	temporal	A follows B	none	origin	False	False	False	True	['NO', 'NO', 'YES', 'NO', 'NO', 'YES', 'NO', 'NO', 'NO', 'NO']	no	-0.6	AB_cause	after	The students put their books in their backpacks, so the students closed their books.	so	1960	['7', '5', '6', '1', '3', '8', '1', '5', '4', '1', '5', '1', '1', '1', '1']	2.4404006956964164	3.333333333333333	"Evaluate the acceptability of sentences that describe two events linked by connectives: because, after, so, then.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: The students put their books in their backpacks, so the students closed their books.
Rating: "	7	"3

Explanation: The"	3
215	Julie chose a dress to wear.	Julie opened the closet.	temporal	A follows B	none	origin	False	False	False	True	['NO', 'YES', 'YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-0.6	AB_temp	after	Julie chose a dress to wear, then Julie opened the closet.	then	3319	['6', '2', '6', '8', '6', '4', '1', '5', '8', '1', '3', '1', '1', '1', '1']	2.602562839459085	3.6	"Evaluate the acceptability of sentences that describe two events linked by connectives: so, because, after, then.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Julie chose a dress to wear, then Julie opened the closet.
Rating: "	1	"2

Sentence: Julie"	2
156	The meat in the fridge spoiled.	The power was out for days.	causality	A follows B	none	big_bench	False	True	False	True	['YES', 'NO', 'YES', 'YES', 'NO', 'YES', 'NO', 'NO', 'NO', 'NO']	no	-0.2	AB_cause	because	The meat in the fridge spoiled, so the power was out for days.	so	4503	['2', '2', '9', '1', '1', '4', '1', '7', '1', '1', '1', '1', '1', '1', '5']	2.472964932132188	2.533333333333333	"Evaluate the acceptability of sentences that describe two events linked by connectives: then, because, so, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: The meat in the fridge spoiled, so the power was out for days.
Rating: "	1	"2
Explanation: The"	2
471	Lili graduated from college.	Amanda applied to a university.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-1.0	AB_cause	other	Lili graduated from college, so Amanda applied to a university.	so	1741	['5', '4', '4', '7', '2', '7', '1', '1', '2', '4', '5', '1', '5', '1', '1']	2.1186998109427604	3.333333333333333	"Evaluate the acceptability of sentences that describe two events linked by connectives: after, so, then, because.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Lili graduated from college, so Amanda applied to a university.
Rating: "	3	"2
Explanation: The"	2
129	Mario and Lili live in two different houses.	Mario and Lili divorced one year ago.	causality	A follows B	none	origin	False	True	False	True	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO', 'YES', 'NO']	no	-0.6	AB_temp	because	Mario and Lili live in two different houses, then Mario and Lili divorced one year ago.	then	928	['1', '2', '3', '1', '3', '6', '1', '8', '1', '1', '1', '1', '1', '4', '4']	2.093375795747677	2.533333333333333	"Evaluate the acceptability of sentences that describe two events linked by connectives: because, then, so, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Mario and Lili live in two different houses, then Mario and Lili divorced one year ago.
Rating: "	7	"2

Explanation: The"	2
96	Luke is allergic to pollen.	Luke often sneezes in spring.	causality	B follows A	none	origin	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	AB_temp	thus	Luke is allergic to pollen, then Luke often sneezes in spring.	then	1258	['2', '7', '5', '1', '3', '10', '10', '10', '2', '1', '1', '4', '1', '3', '7']	3.3638602164114304	4.466666666666667	"Evaluate the acceptability of sentences that describe two events linked by connectives: because, so, then, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Luke is allergic to pollen, then Luke often sneezes in spring.
Rating: "	5	"2

Sentence: Luke"	2
316	The mum cut the cake into pieces.	The child ate the cake.	temporal	B follows A	none	Descript	False	False	True	False	['NO', 'NO', 'NO', 'YES', 'NO', 'NO', 'NO', 'YES', 'NO', 'NO']	no	-0.6	BA_cause	then	The mum cut the cake into pieces, because the child ate the cake.	because	2193	['8', '1', '2', '3', '2', '1', '1', '3', '2', '1', '1', '1', '1', '1', '4']	1.820866704499689	2.1333333333333333	"Evaluate the acceptability of sentences that describe two events linked by connectives: so, then, because, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: The mum cut the cake into pieces, because the child ate the cake.
Rating: "	7	"2

Explanation: The"	2
7	Kevin spends lots of money on gambling.	Kevin has a lot of debts.	causality	B follows A	socially_challenging	origin	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'NO', 'YES', 'YES', 'YES']	yes	0.8	AB_temp	thus	Kevin spends lots of money on gambling, then Kevin has a lot of debts.	then	4472	['2', '8', '3', '1', '7', '10', '10', '8', '2', '3', '1', '3', '1', '6', '7']	3.208322510804257	4.8	"Evaluate the acceptability of sentences that describe two events linked by connectives: then, after, because, so.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Kevin spends lots of money on gambling, then Kevin has a lot of debts.
Rating: "	7	"7

Sentence: Kevin"	7
278	Leonard went to the bathtub.	Leonard turned on the water.	temporal	B follows A	none	Descript	False	False	True	False	['NO', 'NO', 'YES', 'YES', 'NO', 'YES', 'NO', 'NO', 'NO', 'NO']	no	-0.4	BA_cause	then	Leonard went to the bathtub, because Leonard turned on the water.	because	3046	['6', '2', '3', '2', '7', '1', '1', '9', '1', '1', '4', '1', '1', '2', '6']	2.55255862921022	3.1333333333333333	"Evaluate the acceptability of sentences that describe two events linked by connectives: then, so, after, because.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Leonard went to the bathtub, because Leonard turned on the water.
Rating: "	1	"8

Sentence: Leonard"	8
453	Jey enjoyed a peaceful afternoon nap.	Jey woke up refreshed after a good night's sleep.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO', 'NO']	no	-0.8	BA_cause	other	Jey enjoyed a peaceful afternoon nap, because Jey woke up refreshed after a good night's sleep.	because	610	['2', '2', '2', '1', '3', '4', '1', '2', '1', '1', '2', '1', '1', '1', '8']	1.7838784213679535	2.1333333333333333	"Evaluate the acceptability of sentences that describe two events linked by connectives: because, after, so, then.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Jey enjoyed a peaceful afternoon nap, because Jey woke up refreshed after a good night's sleep.
Rating: "	4	"8

Explanation: The"	8
87	Susan decided to buy pesticide.	There are cockroaches in the house.	causality	A follows B	none	origin	False	True	False	True	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO', 'NO', 'YES']	no	-0.6	AB_temp	because	Susan decided to buy pesticide, then there are cockroaches in the house.	then	2884	['2', '2', '2', '1', '1', '7', '1', '10', '1', '1', '1', '3', '1', '1', '1']	2.547329756605706	2.333333333333333	"Evaluate the acceptability of sentences that describe two events linked by connectives: because, so, then, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Susan decided to buy pesticide, then there are cockroaches in the house.
Rating: "	4	"2

Explanation: The"	2
90	Health insurance did not cover Jacob's treatment.	Jacob had to pay a lot of money for the treatment.	causality	B follows A	none	origin	True	False	True	False	['YES', 'YES', 'NO', 'NO', 'YES', 'NO', 'YES', 'NO', 'NO', 'NO']	no	-0.2	BA_cause	thus	Health insurance did not cover Jacob's treatment, because Jacob had to pay a lot of money for the treatment.	because	1986	['8', '2', '10', '2', '6', '5', '10', '6', '1', '1', '8', '1', '5', '9', '5']	3.172100600898752	5.266666666666667	"Evaluate the acceptability of sentences that describe two events linked by connectives: so, then, because, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Health insurance did not cover Jacob's treatment, because Jacob had to pay a lot of money for the treatment.
Rating: "	9	"8

Explanation: The"	8
51	Luke transferred his money to an offshore bank account.	Luke does not want to pay taxes.	causality	A follows B	socially_challenging	origin	False	True	False	True	['YES', 'NO', 'NO', 'YES', 'YES', 'YES', 'NO', 'YES', 'NO', 'NO']	inconclusive	0.0	AB_cause	because	Luke transferred his money to an offshore bank account, so Luke does not want to pay taxes.	so	1460	['10', '8', '9', '10', '4', '6', '1', '7', '4', '1', '1', '8', '1', '8', '8']	3.315954697452237	5.733333333333333	"Evaluate the acceptability of sentences that describe two events linked by connectives: so, after, because, then.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Luke transferred his money to an offshore bank account, so Luke does not want to pay taxes.
Rating: "	4	"7

Explanation: The"	7
475	Kevin plays the piano.	Luke plays the guitar.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-0.8	BA_cause	other	Kevin plays the piano, because Luke plays the guitar.	because	457	['2', '2', '10', '10', '4', '5', '1', '1', '9', '1', '5', '5', '4', '5', '1']	3.091206165165235	4.333333333333333	"Evaluate the acceptability of sentences that describe two events linked by connectives: then, so, because, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Kevin plays the piano, because Luke plays the guitar.
Rating: "	7	"5

Sentence: Kevin"	5
499	Martin and Kevin planned a surprise party.	Kevin's birthday was last week.	no_rel	none	none	origin	False	False	False	False	['YES', 'NO', 'YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO']	no	-0.4	BA_temp	other	Martin and Kevin planned a surprise party, after Kevin's birthday was last week.	after	1445	['2', '7', '1', '1', '7', '8', '1', '5', '1', '3', '5', '1', '1', '10', '1']	3.0287511177601463	3.6	"Evaluate the acceptability of sentences that describe two events linked by connectives: after, then, so, because.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Martin and Kevin planned a surprise party, after Kevin's birthday was last week.
Rating: "	1	"5

Sentence: Martin"	5
181	John loves children.	John decided to become a pediatrician.	causality	B follows A	none	e-care	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'NO', 'YES']	yes	0.8	AB_temp	thus	John loves children, then John decided to become a pediatrician.	then	2432	['10', '9', '1', '1', '2', '5', '10', '9', '3', '1', '3', '6', '1', '7', '4']	3.350621832834417	4.8	"Evaluate the acceptability of sentences that describe two events linked by connectives: so, because, then, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: John loves children, then John decided to become a pediatrician.
Rating: "	5	"2

Explanation: The"	2
242	Jack entered the grocery store and grabbed a shopping cart.	Jack filled the cart with food.	temporal	B follows A	none	Descript	False	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	AB_cause	then	Jack entered the grocery store and grabbed a shopping cart, so Jack filled the cart with food.	so	2310	['10', '10', '10', '9', '6', '6', '10', '10', '8', '1', '3', '8', '10', '7', '9']	2.6882460204874605	7.8	"Evaluate the acceptability of sentences that describe two events linked by connectives: after, then, because, so.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Jack entered the grocery store and grabbed a shopping cart, so Jack filled the cart with food.
Rating: "	4	"5

Explanation: The"	5
